Name,Twitter_username,Account_start_time,Account_ID,Sex,Birthplace,Birthday,Age,Instagram_username,Political_party,Surname
Conor Lamb,ConorLambPA,2017-04-21 00:00:00+00:00,855240223432769538,male,United States of America,1984-06-27 00:00:00+00:00,36.0,conorlamb_pa,Democratic,Lamb
Corey Johnson,nycspeakercojo,2018-01-03 00:00:00+00:00,948576145548693506,male,United States of America,1982-04-28 00:00:00+00:00,38.0,coreyjohnsonnyc,Democratic,Johnson
Corey Stewart,CoreyStewartVA,2011-02-28 00:00:00+00:00,259045004,male,United States of America,1968-08-01 00:00:00+00:00,52.0,coreystewartpwc,Republican,Stewart
Cori Bush,CoriBush,,,female,United States of America,1976-07-21 00:00:00+00:00,44.0,coribush,Democratic,Bush
Cori Bush,CoriBush,,,female,United States of America,1976-07-21 00:00:00+00:00,44.0,coribush,Other,Bush
Cori Bush,CoriBush,,,female,United States of America,1976-07-21 00:00:00+00:00,44.0,coribush,Other,Bush
Corrine Brown,RepCorrineBrown,,t2086266926,female,United States of America,1946-11-11 00:00:00+00:00,74.0,,Democratic,Brown
Cory Booker,CoryBooker,2008-08-11 00:00:00+00:00,15808765,male,United States of America,1969-04-27 00:00:00+00:00,51.0,corybooker,Democratic,Booker
Cory Gardner,corygardner,2009-02-14 00:00:00+00:00,20879626,male,United States of America,1974-08-22 00:00:00+00:00,46.0,sencorygardner,Republican,Gardner
Cory Gardner,corygardner,2009-02-14 00:00:00+00:00,20879626,male,United States of America,1974-08-22 00:00:00+00:00,46.0,sencorygardner,Other,Gardner
Cory Gardner,SenCoryGardner,2009-02-14 00:00:00+00:00,20879626,male,United States of America,1974-08-22 00:00:00+00:00,46.0,sencorygardner,Republican,Gardner
Cory Gardner,SenCoryGardner,2009-02-14 00:00:00+00:00,20879626,male,United States of America,1974-08-22 00:00:00+00:00,46.0,sencorygardner,Other,Gardner
Cory Gardner,corygardner,2011-01-07 00:00:00+00:00,235217558,male,United States of America,1974-08-22 00:00:00+00:00,46.0,sencorygardner,Republican,Gardner
Cory Gardner,corygardner,2011-01-07 00:00:00+00:00,235217558,male,United States of America,1974-08-22 00:00:00+00:00,46.0,sencorygardner,Other,Gardner
Cory Gardner,SenCoryGardner,2011-01-07 00:00:00+00:00,235217558,male,United States of America,1974-08-22 00:00:00+00:00,46.0,sencorygardner,Republican,Gardner
Cory Gardner,SenCoryGardner,2011-01-07 00:00:00+00:00,235217558,male,United States of America,1974-08-22 00:00:00+00:00,46.0,sencorygardner,Other,Gardner
Craig Fitzhugh,CraigFitzhugh,2009-02-10 00:00:00+00:00,20513337,male,United States of America,1950-03-22 00:00:00+00:00,70.0,,Democratic,Fitzhugh
Cresent Hardy,CresentHardy,,t2071008788,male,United States of America,1957-06-23 00:00:00+00:00,63.0,,Republican,Hardy
Curt Clawson,RepCurtClawson,2014-08-13 00:00:00+00:00,2730150631,male,United States of America,1959-09-28 00:00:00+00:00,61.0,,Republican,Clawson
Curtis Hill,CurtisHill_IN,2015-11-27 00:00:00+00:00,4301575462,male,United States of America,1961-02-21 00:00:00+00:00,59.0,,Republican,Hill
"Curtis M. Loftis, Jr.",treasurerloftis,2010-03-15 00:00:00+00:00,123314680,male,United States of America,1958-09-08 00:00:00+00:00,62.0,,Republican,Jr.
Cyndi Munson,cyndimunson85,,,female,United States of America,1985-05-24 00:00:00+00:00,35.0,cyndimunson,Democratic,Munson
Cynthia Lummis,CynthiaLummis,2009-03-04 00:00:00+00:00,22831059,female,United States of America,1954-09-10 00:00:00+00:00,66.0,,Republican,Lummis
Cynthia McKinney,cynthiamckinney,2009-01-03 00:00:00+00:00,18572546,female,United States of America,1955-03-17 00:00:00+00:00,65.0,,Democratic,McKinney
Cynthia Stone Creem,cindycreem,,,female,United States of America,1942-09-17 00:00:00+00:00,78.0,,Democratic,Creem
Dan Benishek,CongressmanDan,2011-01-25 00:00:00+00:00,242761889,male,United States of America,1952-04-20 00:00:00+00:00,68.0,,Republican,Benishek
Dan Bilzerian,danbilzerian,2010-05-11 00:00:00+00:00,142839300,male,United States of America,1980-12-07 00:00:00+00:00,39.0,danbilzerian,Republican,Bilzerian
Dan Bishop,jdanbishop,2013-09-28 00:00:00+00:00,1912799826,male,United States of America,1964-07-01 00:00:00+00:00,56.0,,Republican,Bishop
Dan Coats,SenDanCoats,2010-11-05 00:00:00+00:00,212262370,male,United States of America,1943-05-16 00:00:00+00:00,77.0,,Republican,Coats
Dan Forest,DanForestNC,2011-03-14 00:00:00+00:00,266012753,male,United States of America,1967-10-15 00:00:00+00:00,53.0,danforestnc,Other,Forest
Dan Forest,DanForestNC,2011-03-14 00:00:00+00:00,266012753,male,United States of America,1967-10-15 00:00:00+00:00,53.0,danforestnc,Democratic,Forest
Dan Kildee,RepDanKildee,2012-12-29 00:00:00+00:00,1045110018,male,United States of America,1958-08-11 00:00:00+00:00,62.0,repdankildee,Democratic,Kildee
Dan Lauwers,DanLauwers,,,male,United States of America,1963-01-15 00:00:00+00:00,57.0,,Republican,Lauwers
Dan Lipinski,RepLipinski,2012-12-13 00:00:00+00:00,1009269193,male,United States of America,1966-07-15 00:00:00+00:00,54.0,,Democratic,Lipinski
Dan Logue,danlogue4cd3,2011-10-16 00:00:00+00:00,392462422,male,United States of America,,,,Republican,Logue
Dan Newhouse,RepNewhouse,2014-12-18 00:00:00+00:00,2930635215,male,United States of America,1955-07-10 00:00:00+00:00,65.0,,Republican,Newhouse
Dan Patrick,DanPatrick,2008-11-24 00:00:00+00:00,17582355,male,United States of America,1950-04-04 00:00:00+00:00,70.0,danpatricktexas,Republican,Patrick
Dan R. Brouillette,SecBrouillette,,,male,United States of America,1947-09-14 00:00:00+00:00,73.0,secbrouillette,Republican,Brouillette
Dan Ramos,StateRepRamos,,,male,United States of America,1981-09-02 00:00:00+00:00,39.0,,Democratic,Ramos
Dana Beyer,DanaBeyerMD,2009-03-29 00:00:00+00:00,27345790,transgender female,United States of America,1952-02-09 00:00:00+00:00,68.0,,Democratic,Beyer
Dana Perino,DanaPerino,2009-03-28 00:00:00+00:00,27311044,female,United States of America,1972-05-09 00:00:00+00:00,48.0,danaperino,Republican,Perino
Dana Rohrabacher,reprohrabacher,,,male,United States of America,1947-06-21 00:00:00+00:00,73.0,rep_rohrabacher,Republican,Rohrabacher
Dana Wachs,DanaJWachs,2013-04-07 00:00:00+00:00,1335313891,male,United States of America,1957-08-25 00:00:00+00:00,63.0,,Democratic,Wachs
Dana Young,repdanayoung,,t2071058002,female,United States of America,1964-11-09 00:00:00+00:00,56.0,,Republican,Young
Dane Eagle,DaneEagle,2011-11-02 00:00:00+00:00,403581958,male,United States of America,1983-05-22 00:00:00+00:00,37.0,,Republican,Eagle
Danica Roem,pwcdanica,2010-07-22 00:00:00+00:00,169586297,transgender female,United States of America,1984-09-30 00:00:00+00:00,36.0,,Democratic,Roem
Daniel Ahlers,ahlers_dan,2019-09-01 00:00:00+00:00,,male,United States of America,1973-11-14 00:00:00+00:00,47.0,ahlers.dan,Other,Ahlers
Daniel Biss,danielbiss,2007-08-02 00:00:00+00:00,7912512,male,United States of America,1977-08-27 00:00:00+00:00,43.0,,Democratic,Biss
"Daniel M. Donovan, Jr.",RepDanDonovan,2015-07-01 00:00:00+00:00,3353670647,male,United States of America,1956-11-06 00:00:00+00:00,64.0,,Republican,Jr.
Daniel S. Sullivan,SenDanSullivan,2014-11-05 00:00:00+00:00,2891210047,male,United States of America,1964-11-13 00:00:00+00:00,56.0,sen_dansullivan,Republican,Sullivan
Daniel S. Sullivan,SenDanSullivan,,2891210047,male,United States of America,1964-11-13 00:00:00+00:00,56.0,sen_dansullivan,Republican,Sullivan
Daniel Squadron,DanielSquadron,2011-06-01 00:00:00+00:00,309178614,male,United States of America,1979-11-09 00:00:00+00:00,41.0,,Democratic,Squadron
"Daniel T. Blue, Jr.",danbluenc,2014-05-12 00:00:00+00:00,2491513814,male,United States of America,1949-04-18 00:00:00+00:00,71.0,,Democratic,Jr.
Daniel Webster,RepWebster,2011-04-13 00:00:00+00:00,281540744,male,United States of America,1949-04-27 00:00:00+00:00,71.0,,Republican,Webster
Dannel Malloy,govmalloyoffice,2011-01-04 00:00:00+00:00,234141596,male,United States of America,1955-07-21 00:00:00+00:00,65.0,,Democratic,Malloy
Danny K. Davis,RepDannyDavis,2012-08-29 00:00:00+00:00,789244177,male,United States of America,1941-09-06 00:00:00+00:00,79.0,,Democratic,Davis
Danny Tarkanian,DannyTarkanian,2009-08-10 00:00:00+00:00,64465025,male,United States of America,1961-12-18 00:00:00+00:00,58.0,,Republican,Tarkanian
Darin LaHood,RepLaHood,2015-09-17 00:00:00+00:00,3686482216,male,United States of America,1968-08-12 00:00:00+00:00,52.0,,Republican,LaHood
Darrell Issa,DarrellIssa,2009-03-02 00:00:00+00:00,22509548,male,United States of America,1953-11-01 00:00:00+00:00,67.0,,Republican,Issa
Darrell Steinberg,mayor_steinberg,2015-09-02 00:00:00+00:00,3526565908,male,United States of America,1959-10-15 00:00:00+00:00,61.0,protemsteinberg,Democratic,Steinberg
Darren Jackson,JacksonforNC,2010-02-14 00:00:00+00:00,114338937,male,United States of America,1970-06-29 00:00:00+00:00,50.0,,Democratic,Jackson
Darren Soto,RepDarrenSoto,2017-01-10 00:00:00+00:00,818713465653051392,male,United States of America,1978-02-25 00:00:00+00:00,42.0,repdarrensoto,Democratic,Soto
Dave Brat,RepDaveBrat,,,male,United States of America,1964-07-27 00:00:00+00:00,56.0,,Republican,Brat
Dave Camp,RepDaveCamp,2020-03-24 00:00:00+00:00,1242692525862703105,male,United States of America,1953-07-09 00:00:00+00:00,67.0,,Republican,Camp
Dave LaRock,LaRock4Delegate,2013-02-26 00:00:00+00:00,1222179409,male,United States of America,1956-05-30 00:00:00+00:00,64.0,,Republican,LaRock
Dave Reichert,DaveReichert,2012-05-15 00:00:00+00:00,t2082926990,male,United States of America,1950-08-29 00:00:00+00:00,70.0,repdavereichert,Republican,Reichert
David Axelrod,davidaxelrod,2011-01-29 00:00:00+00:00,244655353,male,United States of America,1955-02-22 00:00:00+00:00,65.0,,Democratic,Axelrod
David Axelrod,davidaxelrod,2011-01-29 00:00:00+00:00,244655353,male,United States of America,1955-02-22 00:00:00+00:00,65.0,,Democratic,Axelrod
David Baria,dbaria,2009-04-16 00:00:00+00:00,32125811,male,United States of America,1962-12-04 00:00:00+00:00,57.0,,Democratic,Baria
David Beasley,WFPChief,2017-04-04 00:00:00+00:00,849183802777882624,male,United States of America,1957-02-26 00:00:00+00:00,63.0,,Republican,Beasley
David Beasley,WFPChief,2017-04-04 00:00:00+00:00,849183802777882624,male,United States of America,1957-02-26 00:00:00+00:00,63.0,,Democratic,Beasley
David Bulova,DavidBulova,2010-05-29 00:00:00+00:00,149586061,male,United States of America,1969-05-06 00:00:00+00:00,51.0,,Democratic,Bulova
David Casas,votedavidcasas,,t2066523673,male,Spain,1971-09-18 00:00:00+00:00,49.0,,Republican,Casas
David Chiu,davidchiu,2007-11-19 00:00:00+00:00,10378382,male,United States of America,1970-04-02 00:00:00+00:00,50.0,davidchiu.sf,Democratic,Chiu
David Chiu,davidchiu,2007-11-19 00:00:00+00:00,10378382,male,United States of America,1970-04-02 00:00:00+00:00,50.0,davidchiu.sf,Other,Chiu
David Cicilline,RepCicilline,2012-01-12 00:00:00+00:00,462143773,male,United States of America,1961-07-15 00:00:00+00:00,59.0,,Democratic,Cicilline
David Duke,drdavidduke,2009-09-09 00:00:00+00:00,72931184,male,United States of America,1950-07-01 00:00:00+00:00,70.0,,Republican,Duke
David Duke,drdavidduke,2009-09-09 00:00:00+00:00,72931184,male,United States of America,1950-07-01 00:00:00+00:00,70.0,,Democratic,Duke
David Duke,drdavidduke,2009-09-09 00:00:00+00:00,72931184,male,United States of America,1950-07-01 00:00:00+00:00,70.0,,Other,Duke
David Duke,drdavidduke,2009-09-09 00:00:00+00:00,72931184,male,United States of America,1950-07-01 00:00:00+00:00,70.0,,Other,Duke
David Grosso,cmdgrosso,2013-01-04 00:00:00+00:00,1061475775,male,United States of America,1971-01-01 00:00:00+00:00,49.0,,Other,Grosso
David H. Simmons,dsimmonsfl,2010-10-06 00:00:00+00:00,199295640,male,United States of America,1952-06-13 00:00:00+00:00,68.0,,Republican,Simmons
David H. Simmons,dsimmonsfl,2010-10-06 00:00:00+00:00,199295640,male,United States of America,1952-06-13 00:00:00+00:00,68.0,,Other,Simmons
David Holt,davidfholt,2009-01-30 00:00:00+00:00,19791281,male,United States of America,1979-03-10 00:00:00+00:00,41.0,mayordavidholt,Republican,Holt
David Ige,GovHawaii,,,male,United States of America,1957-01-15 00:00:00+00:00,63.0,teamdavidige,Democratic,Ige
David Jolly,DavidJollyFL,2014-05-07 00:00:00+00:00,2482022082,male,United States of America,1972-10-31 00:00:00+00:00,48.0,,Republican,Jolly
David Jolly,DavidJollyFL,2013-11-06 00:00:00+00:00,2178681566,male,United States of America,1972-10-31 00:00:00+00:00,48.0,,Republican,Jolly
David Joyce,RepDaveJoyce,2012-11-28 00:00:00+00:00,976969338,male,United States of America,1957-03-17 00:00:00+00:00,63.0,repdavejoyce,Republican,Joyce
David Kustoff,repdavidkustoff,2017-01-02 00:00:00+00:00,816012124505931780,male,United States of America,1966-10-08 00:00:00+00:00,54.0,repdavidkustoff,Republican,Kustoff
David Loebsack,daveloebsack,2012-03-01 00:00:00+00:00,510516465,male,United States of America,1952-12-23 00:00:00+00:00,67.0,,Democratic,Loebsack
David Loebsack,DaveForIowa,2012-03-01 00:00:00+00:00,510516465,male,United States of America,1952-12-23 00:00:00+00:00,67.0,,Democratic,Loebsack
David Loebsack,daveloebsack,2012-05-18 00:00:00+00:00,583486767,male,United States of America,1952-12-23 00:00:00+00:00,67.0,,Democratic,Loebsack
David Loebsack,DaveForIowa,2012-05-18 00:00:00+00:00,583486767,male,United States of America,1952-12-23 00:00:00+00:00,67.0,,Democratic,Loebsack
David M. McIntosh,DavidMMcintosh,2010-03-17 00:00:00+00:00,123984879,male,United States of America,1958-06-08 00:00:00+00:00,62.0,,Republican,McIntosh
David McKinley,RepMcKinley,2011-01-19 00:00:00+00:00,240427862,male,United States of America,1947-03-28 00:00:00+00:00,73.0,davidwmckinley,Republican,McKinley
David Miliband,dmiliband,2009-09-20 00:00:00+00:00,75896448,male,United Kingdom,1965-07-15 00:00:00+00:00,55.0,,Other,Miliband
David Muradian,Muradian4Rep,,,male,United States of America,1982-11-21 00:00:00+00:00,37.0,,Republican,Muradian
David Paterson,NYGovPaterson55,,,male,United States of America,1954-05-20 00:00:00+00:00,66.0,,Democratic,Paterson
David Perdue,sendavidperdue,2014-11-05 00:00:00+00:00,2863210809,male,United States of America,1949-12-10 00:00:00+00:00,70.0,sendavidperdue,Republican,Perdue
David Perdue,sendavidperdue,,2863210809,male,United States of America,1949-12-10 00:00:00+00:00,70.0,sendavidperdue,Republican,Perdue
David Plouffe,davidplouffe,2013-01-22 00:00:00+00:00,1111940934,male,United States of America,1967-05-27 00:00:00+00:00,53.0,,Democratic,Plouffe
David Price,RepDavidEPrice,2010-06-14 00:00:00+00:00,155669457,male,United States of America,1940-08-17 00:00:00+00:00,80.0,repdavideprice,Democratic,Price
David R. Lewis,RepDavidRLewis,2011-05-31 00:00:00+00:00,308676115,male,United States of America,1971-03-06 00:00:00+00:00,49.0,,Republican,Lewis
David Rouzer,DavidRouzer,2010-03-30 00:00:00+00:00,127941167,male,Germany,1972-02-16 00:00:00+00:00,48.0,repdavidrouzer,Republican,Rouzer
David Schapira,dschapira,2009-03-21 00:00:00+00:00,25785303,male,United States of America,1980-02-17 00:00:00+00:00,40.0,,Democratic,Schapira
David Schweikert,RepDavid,2010-12-21 00:00:00+00:00,229197216,male,United States of America,1962-03-03 00:00:00+00:00,58.0,repdavid,Republican,Schweikert
David Scott,repdavidscott,2010-07-20 00:00:00+00:00,168673083,male,United States of America,1945-06-27 00:00:00+00:00,75.0,repdavidscott,Democratic,Scott
David Segal,segalforri,2010-06-12 00:00:00+00:00,155019075,male,United States of America,1979-11-25 00:00:00+00:00,40.0,,Democratic,Segal
David Toscano,deltoscano,2009-05-28 00:00:00+00:00,43117323,male,United States of America,1950-06-28 00:00:00+00:00,70.0,,Democratic,Toscano
David Trott,repdavetrott,,t2066582345,male,United States of America,1960-10-16 00:00:00+00:00,60.0,,Republican,Trott
David Valadao,RepDavidValadao,2013-01-28 00:00:00+00:00,1128514404,male,United States of America,1977-04-14 00:00:00+00:00,43.0,,Republican,Valadao
David Valadao,RepDavidValadao,2013-01-28 00:00:00+00:00,1128514404,male,United States of America,1977-04-14 00:00:00+00:00,43.0,,Other,Valadao
David Vitter,DavidVitter,2009-01-15 00:00:00+00:00,19028248,male,United States of America,1961-05-03 00:00:00+00:00,59.0,,Republican,Vitter
David Vitter,senatorvitter,2009-01-15 00:00:00+00:00,19028248,male,United States of America,1961-05-03 00:00:00+00:00,59.0,,Republican,Vitter
David Vitter,DavidVitter,2009-02-04 00:00:00+00:00,20092295,male,United States of America,1961-05-03 00:00:00+00:00,59.0,,Republican,Vitter
David Vitter,senatorvitter,2009-02-04 00:00:00+00:00,20092295,male,United States of America,1961-05-03 00:00:00+00:00,59.0,,Republican,Vitter
David Yancey,yancey4delegate,2017-08-07 00:00:00+00:00,894689892134944768,male,United States of America,1972-04-06 00:00:00+00:00,48.0,,Republican,Yancey
David Young,RepDavidYoung,2011-06-09 00:00:00+00:00,314205957,male,United States of America,1968-05-11 00:00:00+00:00,52.0,repdavidyoung,Republican,Young
Dawn Zimmer,dawnzimmernj,2009-08-02 00:00:00+00:00,62383743,female,United States of America,1968-04-16 00:00:00+00:00,52.0,,Democratic,Zimmer
Daylin Leach,daylinleach,2009-02-10 00:00:00+00:00,20540348,male,United States of America,1961-06-23 00:00:00+00:00,59.0,,Democratic,Leach
Dean Heller,sendeanheller,2011-03-14 00:00:00+00:00,266133081,male,United States of America,1960-05-10 00:00:00+00:00,60.0,,Republican,Heller
Dean Phillips,deanbphillips,2009-05-13 00:00:00+00:00,39894447,male,United States of America,1969-01-20 00:00:00+00:00,51.0,,Democratic,Phillips
Dean Phillips,RepDeanPhillips,2009-05-13 00:00:00+00:00,39894447,male,United States of America,1969-01-20 00:00:00+00:00,51.0,,Democratic,Phillips
Dean Phillips,deanbphillips,2018-11-10 00:00:00+00:00,1061310112013434882,male,United States of America,1969-01-20 00:00:00+00:00,51.0,,Democratic,Phillips
Dean Phillips,RepDeanPhillips,2018-11-10 00:00:00+00:00,1061310112013434882,male,United States of America,1969-01-20 00:00:00+00:00,51.0,,Democratic,Phillips
Deb Fischer,SenatorFischer,2013-01-08 00:00:00+00:00,1071402577,female,United States of America,1951-03-01 00:00:00+00:00,69.0,senatorfischer,Republican,Fischer
Deb Fischer,SenatorFischer,,,female,United States of America,1951-03-01 00:00:00+00:00,69.0,senatorfischer,Republican,Fischer
Deb Goldberg,masstreasury,2009-07-22 00:00:00+00:00,59161755,female,United States of America,1954-05-11 00:00:00+00:00,66.0,debgoldbergma,Democratic,Goldberg
Deb Haaland,RepDebHaaland,2019-01-03 00:00:00+00:00,1080695666760929280,female,United States of America,1960-12-02 00:00:00+00:00,59.0,,Democratic,Haaland
Deb Haaland,Deb4CongressNM,2019-01-03 00:00:00+00:00,1080695666760929280,female,United States of America,1960-12-02 00:00:00+00:00,59.0,,Democratic,Haaland
Deb Haaland,RepDebHaaland,2011-04-23 00:00:00+00:00,286476728,female,United States of America,1960-12-02 00:00:00+00:00,59.0,,Democratic,Haaland
Deb Haaland,Deb4CongressNM,2011-04-23 00:00:00+00:00,286476728,female,United States of America,1960-12-02 00:00:00+00:00,59.0,,Democratic,Haaland
Debbie Lesko,RepDLesko,2018-05-14 00:00:00+00:00,996094929733652481,female,United States of America,1958-11-14 00:00:00+00:00,62.0,,Republican,Lesko
Debbie Mucarsel-Powell,DebbieforFL,2016-07-04 00:00:00+00:00,750046943905058816,female,Ecuador,1971-01-18 00:00:00+00:00,49.0,,Democratic,Mucarsel-Powell
Debbie Stabenow,SenStabenow,2009-09-22 00:00:00+00:00,76456274,female,United States of America,1950-04-29 00:00:00+00:00,70.0,,Democratic,Stabenow
Debbie Wasserman Schultz,DWStweets,2010-02-20 00:00:00+00:00,115979444,female,United States of America,1966-09-27 00:00:00+00:00,54.0,repdwstweets,Democratic,Schultz
Deborah Dingell,RepDebDingell,2015-01-09 00:00:00+00:00,2970279814,female,United States of America,1953-11-23 00:00:00+00:00,66.0,repdingell,Democratic,Dingell
Deborah K. Ross,DeborahRossNC,2015-10-06 00:00:00+00:00,3806081652,female,United States of America,1963-06-20 00:00:00+00:00,57.0,,Democratic,Ross
Delaine Eastin,DelaineEastin,2012-11-07 00:00:00+00:00,932564756,female,United States of America,1947-08-20 00:00:00+00:00,73.0,,Democratic,Eastin
Delores McQuinn,DeloresMcquinn,2019-01-18 00:00:00+00:00,1086288373168377856,female,United States of America,1954-11-26 00:00:00+00:00,65.0,,Democratic,McQuinn
Denis McDonough,Denis44,2015-03-17 00:00:00+00:00,3093573484,male,United States of America,1969-12-02 00:00:00+00:00,50.0,,Democratic,McDonough
Denise Driehaus,DeniseDriehaus,2010-06-09 00:00:00+00:00,153857050,female,United States of America,1967-06-16 00:00:00+00:00,53.0,,Democratic,Driehaus
Denise Harper Angel,kyharperangel,,,female,United States of America,1953-11-24 00:00:00+00:00,66.0,,Democratic,Angel
Denise Merrill,SOTSMerrill,2011-01-23 00:00:00+00:00,242146618,female,United States of America,1948-10-08 00:00:00+00:00,72.0,,Democratic,Merrill
Dennis A. Ross,AmbDennisRoss,2015-09-03 00:00:00+00:00,3537275536,male,United States of America,1959-10-18 00:00:00+00:00,61.0,,Republican,Ross
Dennis A. Ross,AmbDennisRoss,,t2085641865,male,United States of America,1959-10-18 00:00:00+00:00,61.0,,Republican,Ross
Dennis Bonnen,RepDennisBonnen,,,male,United States of America,1972-03-03 00:00:00+00:00,48.0,speakerbonnen,Republican,Bonnen
Dennis C. Wolff,DennyforPA,,,male,United States of America,1951-09-09 00:00:00+00:00,69.0,,Democratic,Wolff
Dennis Daugaard,SDGovDaugaard,2011-01-05 00:00:00+00:00,234406945,male,United States of America,1953-06-11 00:00:00+00:00,67.0,,Republican,Daugaard
Dennis Heck,RepDennyHeck,2013-01-07 00:00:00+00:00,1068499286,male,United States of America,1952-07-29 00:00:00+00:00,68.0,,Democratic,Heck
Dennis K. Baxley,dennisbaxley,2010-01-18 00:00:00+00:00,106237226,male,United States of America,1952-08-22 00:00:00+00:00,68.0,,Republican,Baxley
Dennis Kucinich,dennis_kucinich,2008-06-05 00:00:00+00:00,15022633,male,United States of America,1946-10-08 00:00:00+00:00,74.0,,Democratic,Kucinich
Denver Riggleman,RepRiggleman,2019-01-02 00:00:00+00:00,1080504024695222273,male,United States of America,1970-03-17 00:00:00+00:00,50.0,,Republican,Riggleman
Derek Kilmer,RepDerekKilmer,2013-01-03 00:00:00+00:00,1058917562,male,United States of America,1974-01-01 00:00:00+00:00,46.0,,Democratic,Kilmer
Deval Patrick,devalpatrick,2009-07-30 00:00:00+00:00,61636488,male,United States of America,1956-07-31 00:00:00+00:00,64.0,devalpatrick,Democratic,Patrick
Devin Nunes,DevinNunes,2009-07-07 00:00:00+00:00,54412900,male,United States of America,1973-10-01 00:00:00+00:00,47.0,,Republican,Nunes
Diana DeGette,RepDianaDeGette,2009-04-03 00:00:00+00:00,28599820,female,Japan,1957-07-29 00:00:00+00:00,63.0,repdianadegette,Democratic,DeGette
Diane Black,RepDianeBlack,2010-02-01 00:00:00+00:00,110545675,female,United States of America,1951-01-16 00:00:00+00:00,69.0,repdianeblack,Republican,Black
Diane Harkey,DianeHarkey,2009-07-28 00:00:00+00:00,61035896,female,United States of America,1951-06-20 00:00:00+00:00,69.0,,Republican,Harkey
Diane Mitsch Bush,RepDMB,2014-02-27 00:00:00+00:00,2364682111,female,United States of America,,,,Democratic,Bush
Diane Russell,MissWrite,2008-05-29 00:00:00+00:00,14943778,female,United States of America,1976-08-09 00:00:00+00:00,44.0,,Democratic,Russell
Diane Russell,MissWrite,2008-05-29 00:00:00+00:00,14943778,female,United States of America,1976-08-09 00:00:00+00:00,44.0,,Other,Russell
Diane Savino,dianesavino,2009-10-08 00:00:00+00:00,80890505,female,United States of America,1963-09-28 00:00:00+00:00,57.0,,Democratic,Savino
Dianne Feinstein,SenFeinstein,2012-01-27 00:00:00+00:00,476256944,female,United States of America,1933-06-22 00:00:00+00:00,87.0,,Democratic,Feinstein
Dick Durbin,SenatorDurbin,2011-02-04 00:00:00+00:00,247334603,male,United States of America,1944-11-21 00:00:00+00:00,75.0,durbincampaign,Democratic,Durbin
Dick Gephardt,dickgephardt,2016-08-08 00:00:00+00:00,762742698059059200,male,United States of America,1941-01-31 00:00:00+00:00,79.0,,Democratic,Gephardt
Dick Gregory,IAmDickGregory,2012-03-12 00:00:00+00:00,522828682,male,United States of America,1932-10-12 00:00:00+00:00,88.0,,Other,Gregory
Dina Powell,apnsadinapowell,,,female,Egypt,1973-06-12 00:00:00+00:00,47.0,,Republican,Powell
Dina Titus,RepDinaTitus,2010-03-11 00:00:00+00:00,122174004,female,United States of America,1950-05-23 00:00:00+00:00,70.0,dinatitusnv,Democratic,Titus
Dinesh D'Souza,DineshDSouza,2009-11-22 00:00:00+00:00,91882544,male,India,1961-04-25 00:00:00+00:00,59.0,dineshjdsouza,Republican,D'Souza
Dino Rossi,DinoRossiWA,2010-05-20 00:00:00+00:00,146241212,male,United States of America,1959-10-15 00:00:00+00:00,61.0,,Republican,Rossi
Don Bacon,repdonbacon,2017-01-10 00:00:00+00:00,818975124460335106,male,United States of America,1963-08-16 00:00:00+00:00,57.0,repdonbacon,Republican,Bacon
Don Beyer,RepDonBeyer,2015-01-05 00:00:00+00:00,2962868158,male,Italy,1950-06-20 00:00:00+00:00,70.0,repdonbeyer,Democratic,Beyer
Don Blankenship,DonBlankenship,2009-06-19 00:00:00+00:00,48762458,male,United States of America,1950-03-14 00:00:00+00:00,70.0,,Republican,Blankenship
Don Blankenship,DonBlankenship,2009-06-19 00:00:00+00:00,48762458,male,United States of America,1950-03-14 00:00:00+00:00,70.0,,Other,Blankenship
Don Ness,Ness_Duluth,2011-08-30 00:00:00+00:00,365051475,male,United States of America,1974-01-09 00:00:00+00:00,46.0,,Other,Ness
Don Ness,Ness_Duluth,2011-08-30 00:00:00+00:00,365051475,male,United States of America,1974-01-09 00:00:00+00:00,46.0,,Democratic,Ness
Don Young,RepDonYoung,2009-05-01 00:00:00+00:00,37007274,male,United States of America,1933-06-09 00:00:00+00:00,87.0,,Republican,Young
Donald Norcross,DonaldNorcross,2015-03-27 00:00:00+00:00,3122099613,male,United States of America,1958-12-13 00:00:00+00:00,61.0,donald_norcross,Democratic,Norcross
"Donald Payne, Jr.",RepDonaldPayne,2013-02-06 00:00:00+00:00,1155335864,male,United States of America,1958-12-16 00:00:00+00:00,61.0,repdonaldpaynejr,Democratic,Jr.
Donald Trump,realDonaldTrump,2009-03-18 00:00:00+00:00,25073877,male,United States of America,1946-06-14 00:00:00+00:00,74.0,realdonaldtrump,Republican,Trump
Donald Trump,POTUS,2009-03-18 00:00:00+00:00,25073877,male,United States of America,1946-06-14 00:00:00+00:00,74.0,realdonaldtrump,Republican,Trump
Donald Trump,realDonaldTrump,2017-01-20 00:00:00+00:00,822215679726100480,male,United States of America,1946-06-14 00:00:00+00:00,74.0,realdonaldtrump,Republican,Trump
Donald Trump,POTUS,2017-01-20 00:00:00+00:00,822215679726100480,male,United States of America,1946-06-14 00:00:00+00:00,74.0,realdonaldtrump,Republican,Trump
Donna Brazile,donnabrazile,2009-07-28 00:00:00+00:00,60919240,female,United States of America,1959-12-15 00:00:00+00:00,60.0,,Democratic,Brazile
